Site,Date_Time,Latitude,Longitude,HAMSL_m,Melt_Season_SWE_Change_m,LastVisitDate,DaysSinceLastVisit
Gates 3600 (low),2019-08-22 14:08:00.000,61.597689979,-142.999632069,1069.372,-3.762,2019-06-07 14:07:00.000,76
Gates 3600 (low),2020-09-13 10:30:00.000,61.598462457,-142.999676699,1069.66,-2.673,2020-06-26 16:03:00.000,79
Gates 3600 (low),2021-09-08 12:33:00.000,61.598924898,-142.99944549,1070.009,-3.456,2021-06-11 16:11:00.000,89
Gates 7200 (mid),2019-08-22 12:02:00.000,61.6593614,-142.984537994,2179.532,-1.222,2019-06-07 11:00:00.000,76
Gates 7200 (mid),2020-09-13 12:02:00.000,61.659024203,-142.984843496,2179.543,-0.114,2020-06-26 12:50:00.000,79
Gates 7200 (mid),2021-09-08 14:31:00.000,61.659134675,-142.985095202,2179.631,-0.00099999999999989,2021-06-11 11:42:00.000,89
Kenn 2700 (low),2019-08-22 11:29:00.000,61.530364181,-143.0124656,789.539,-5.283,2019-06-07 17:03:00.000,76
Kenn 2700 (low),2020-09-13 09:22:00.000,61.530491946,-143.012340464,788.037,-3.897,2020-06-26 18:25:00.000,79
Kenn 2700 (low),2021-09-08 10:50:00.000,61.530979702,-143.014158749,786.712,-5.508,2021-06-11 19:20:00.000,89
Kenn 3100 (mid hi),2019-08-22 14:53:00.000,61.562811846,-143.0555008,917.78,-4.005,2019-06-07 15:34:00.000,76
Kenn 3100 (mid hi),2020-09-13 09:54:00.000,61.563041259,-143.055924148,921.792,-2.871,2020-06-26 17:23:00.000,79
Kenn 3100 (mid hi),2021-09-08 11:41:00.000,61.56275685,-143.055767122,918.545,-4.041,2021-06-11 17:55:00.000,89
Kenn 6100 (high),2019-08-22 13:34:00.000,61.678415376,-143.066654096,1827.761,-2.746,2019-06-07 12:32:00.000,76
Kenn 6100 (high),2019-08-22 13:27:00.000,61.679100806,-143.06572802,1830.025,-2.805,2019-06-07 12:32:00.000,76
Kenn 6100 (high),2021-09-08 15:46:00.000,61.678210396,-143.066222495,1829.548,-1.0375,2021-06-11 12:54:00.000,89
Kenn 6100 (high),2020-09-13 14:20:00.000,61.679067439,-143.065020867,1832.302,-1.114,2020-06-26 14:54:00.000,79
Gates 3600 (low),2018-08-29 11:06:00.000,61.596856779,-143.000123306,1064.67,-3.457,2018-05-17 12:24:00.000,104
Kenn 2300 (mid),2018-08-29 12:49:00.000,61.513949857,-142.979192993,711.358,-6.048,2018-05-17 16:40:00.000,104
Gates 7200 (mid),2017-09-30 12:20:00.000,61.658794402,-142.985052836,2177.744,-0.46,2017-05-26 10:34:00.000,127
Gates 3600 (low),2017-09-30 11:56:00.000,61.597093275,-142.999768774,1066.858,-4.1925615,2017-05-26 08:19:00.000,127
Gates 7200 (mid),2016-08-20 10:58:00.000,61.659490167,-142.984853131,2181.407,-0.631,2016-05-26 11:36:00.000,86
Gates 3600 (low),2016-08-20 10:23:00.000,61.597648817,-142.999365892,1071.736,-3.762,2016-05-26 13:20:00.000,86
