Site,Date_Time,Latitude,Longitude,HAMSL_m,Seasonal_Snow_Depth_m,Seasonal_Snow_SWE_m
Gates 3600 (low),"Friday, June 7, 2019",61.59650586,-143.0003992,1064.861,0,0.00
Gates 3600 (low),"Friday, June 7, 2019",61.59650586,-143.0003992,1064.861,0,0.00
Gates 3600 (low),"Friday, June 26, 2020",61.59729524,-142.9998592,1068.57,0,0.00
Gates 3600 (low),"Friday, June 7, 2019",61.59781398,-142.9995568,1074.015,0,0.00
Gates 3600 (low),"Friday, June 26, 2020",61.59729524,-142.9998592,1068.57,0,0.00
Gates 3600 (low),"Friday, June 11, 2021",61.59810853,-142.9999256,1071.566,0,0.00
Gates 3600 (low),"Friday, June 11, 2021",61.59810853,-142.9999256,1071.566,0,0.00
Gates 3600 (low),"Friday, June 26, 2020",61.5985853,-142.9996124,1073.27,0,0.00
Gates 3600 (low),"Friday, June 11, 2021",61.59907685,-142.9993653,1074.473,0,0.00
Gates 7200 (mid),"Friday, June 7, 2019",61.65964948,-142.9844381,2183.114,3.85,1.72
Gates 7200 (mid),"Friday, June 11, 2021",61.65793356,-142.9853495,2174.382,4.19,1.75
Gates 7200 (mid),"Friday, June 26, 2020",61.65932283,-142.9847258,2181.131,5.41,2.59
Gates 7200 (mid),"Friday, June 11, 2021",61.65948531,-142.9849644,2181.999,4.16,1.75
Kenn 2300 (mid),"Friday, June 7, 2019",61.51374265,-142.9783354,711.636,0,0.00
Kenn 2700 (low),"Friday, June 7, 2019",61.5305206,-143.0126856,795.115,0,0.00
Kenn 2700 (low),"Friday, June 26, 2020",61.52986475,-143.0117193,788.87,0,0.00
Kenn 2700 (low),"Friday, June 26, 2020",61.53063573,-143.0125408,791.718,0,0.00
Kenn 2700 (low),"Friday, June 11, 2021",61.53011536,-143.0118025,790.222,0,0.00
Kenn 2700 (low),"Friday, June 11, 2021",61.53011536,-143.0118025,790.222,0,0.00
Kenn 2700 (low),"Friday, June 11, 2021",61.53115944,-143.0143939,792.411,0,0.00
Kenn 3100 (mid hi),"Friday, June 7, 2019",61.56216632,-143.0553617,918.142,0,0.00
Kenn 3100 (mid hi),"Friday, June 7, 2019",61.56216632,-143.0553617,918.142,0,0.00
Kenn 3100 (mid hi),"Friday, June 7, 2019",61.56306096,-143.0555726,922.915,0,0.00
Kenn 3100 (mid hi),"Friday, June 26, 2020",61.56195252,-143.0551749,916.71,0,0.00
Kenn 3100 (mid hi),"Friday, June 11, 2021",61.56233912,-143.0557046,922.307,0,0.00
Kenn 3100 (mid hi),"Friday, June 26, 2020",61.56329099,-143.055983,924.892,0,0.00
Kenn 3100 (mid hi),"Friday, June 11, 2021",61.56233912,-143.0557046,922.307,0,0.00
Kenn 3100 (mid hi),"Friday, June 11, 2021",61.56304301,-143.0558558,923.588,0,0.00
Kenn 6100 (high),"Friday, June 7, 2019",61.67926585,-143.0654982,1835.302,2.15,1.10
Kenn 6100 (high),"Friday, June 11, 2021",61.67841658,-143.0659447,1832.989,2.94,1.34
Kenn 6100 (high),"Friday, June 11, 2021",61.67841658,-143.0659447,1832.989,2.94,1.34
Kenn 6100 (high),"Friday, June 26, 2020",61.67923899,-143.0647994,1834.14,2.54,1.40
Gates 3600 (low),"Thursday, May 17, 2018",61.5970326,-142.999982,1069.223,1.48,0.58
Kenn 2300 (mid),"Thursday, May 17, 2018",61.51407862,-142.9796737,716.018,0,0.00
Gates 7200 (mid),"Friday, May 26, 2017",61.65926142,-142.9848629,2182.102,3.31,1.21
Gates 3600 (low),"Friday, May 26, 2017",61.59729974,-142.9996135,1072.012,0.0213,0.01
Gates 3600 (low),"Friday, May 26, 2017",61.59729974,-142.9996135,1072.012,0.0213,0.01
Gates High,"Friday, May 27, 2016",61.6810301,-142.9750468,2874.487,7.02,3.16
Gates 7200 (mid),"Thursday, May 26, 2016",61.65981922,-142.984741,2184.952,4.34,1.94
Gates 3600 (low),"Thursday, May 26, 2016",61.59779799,-142.9992698,1076.583,0,0.00
